,h,l,n,fairness_sent,cor,cor_abs
384,150,500,150,fairness_sent,0.3217,0.3217
385,175,25,25,fairness_sent,-0.1764,0.1764
386,175,50,25,fairness_sent,0.3771,0.3771
387,175,50,50,fairness_sent,-0.2163,0.2163
388,175,75,25,fairness_sent,0.4043,0.4043
389,175,75,50,fairness_sent,0.4501,0.4501
390,175,75,75,fairness_sent,0.2985,0.2985
391,175,100,25,fairness_sent,0.4248,0.4248
392,175,100,50,fairness_sent,-0.4696,0.4696
393,175,100,75,fairness_sent,-0.4489,0.4489
394,175,100,100,fairness_sent,0.3441,0.3441
395,175,125,25,fairness_sent,0.4032,0.4032
396,175,125,50,fairness_sent,-0.452,0.452
397,175,125,75,fairness_sent,-0.4609,0.4609
398,175,125,100,fairness_sent,0.4655,0.4655
399,175,125,125,fairness_sent,-0.3947,0.3947
400,175,150,25,fairness_sent,-0.4059,0.4059
401,175,150,50,fairness_sent,0.439,0.439
402,175,150,75,fairness_sent,0.47,0.47
403,175,150,100,fairness_sent,0.4788,0.4788
404,175,150,125,fairness_sent,0.4746,0.4746
405,175,150,150,fairness_sent,0.3648,0.3648
406,175,175,25,fairness_sent,-0.3729,0.3729
407,175,175,50,fairness_sent,-0.4244,0.4244
408,175,175,75,fairness_sent,0.4632,0.4632
409,175,175,100,fairness_sent,0.4773,0.4773
410,175,175,125,fairness_sent,0.4848,0.4848
411,175,175,150,fairness_sent,0.4736,0.4736
412,175,175,175,fairness_sent,0.3711,0.3711
413,175,200,25,fairness_sent,0.342,0.342
414,175,200,50,fairness_sent,0.3905,0.3905
415,175,200,75,fairness_sent,0.4211,0.4211
416,175,200,100,fairness_sent,0.4454,0.4454
417,175,200,125,fairness_sent,0.4717,0.4717
418,175,200,150,fairness_sent,0.4822,0.4822
419,175,200,175,fairness_sent,0.4832,0.4832
420,175,225,25,fairness_sent,-0.3799,0.3799
421,175,225,50,fairness_sent,0.3704,0.3704
422,175,225,75,fairness_sent,0.433,0.433
423,175,225,100,fairness_sent,0.4207,0.4207
424,175,225,125,fairness_sent,0.4431,0.4431
425,175,225,150,fairness_sent,0.4577,0.4577
426,175,225,175,fairness_sent,0.461,0.461
427,175,250,25,fairness_sent,-0.3943,0.3943
428,175,250,50,fairness_sent,0.362,0.362
429,175,250,75,fairness_sent,0.4326,0.4326
430,175,250,100,fairness_sent,0.4158,0.4158
431,175,250,125,fairness_sent,0.4425,0.4425
432,175,250,150,fairness_sent,0.4399,0.4399
433,175,250,175,fairness_sent,0.4376,0.4376
434,175,275,25,fairness_sent,0.3328,0.3328
435,175,275,50,fairness_sent,0.3513,0.3513
436,175,275,75,fairness_sent,0.4062,0.4062
437,175,275,100,fairness_sent,0.3992,0.3992
438,175,275,125,fairness_sent,0.4045,0.4045
439,175,275,150,fairness_sent,0.41,0.41
440,175,275,175,fairness_sent,0.4018,0.4018
441,175,300,25,fairness_sent,0.2738,0.2738
442,175,300,50,fairness_sent,0.3622,0.3622
443,175,300,75,fairness_sent,0.387,0.387
444,175,300,100,fairness_sent,0.3651,0.3651
445,175,300,125,fairness_sent,0.3779,0.3779
446,175,300,150,fairness_sent,0.3907,0.3907
447,175,300,175,fairness_sent,0.3767,0.3767
448,175,325,25,fairness_sent,0.2724,0.2724
449,175,325,50,fairness_sent,0.3731,0.3731
450,175,325,75,fairness_sent,0.4047,0.4047
451,175,325,100,fairness_sent,0.3569,0.3569
452,175,325,125,fairness_sent,0.3644,0.3644
453,175,325,150,fairness_sent,0.3613,0.3613
454,175,325,175,fairness_sent,0.369,0.369
455,175,350,25,fairness_sent,0.2607,0.2607
456,175,350,50,fairness_sent,0.3793,0.3793
457,175,350,75,fairness_sent,0.4083,0.4083
458,175,350,100,fairness_sent,0.3685,0.3685
459,175,350,125,fairness_sent,0.3651,0.3651
460,175,350,150,fairness_sent,0.3683,0.3683
461,175,350,175,fairness_sent,0.3639,0.3639
462,175,375,25,fairness_sent,0.2799,0.2799
463,175,375,50,fairness_sent,0.3728,0.3728
464,175,375,75,fairness_sent,0.3948,0.3948
465,175,375,100,fairness_sent,0.3613,0.3613
466,175,375,125,fairness_sent,0.3541,0.3541
467,175,375,150,fairness_sent,0.3658,0.3658
468,175,375,175,fairness_sent,0.3568,0.3568
469,175,400,25,fairness_sent,-0.153,0.153
470,175,400,50,fairness_sent,0.3566,0.3566
471,175,400,75,fairness_sent,0.3922,0.3922
472,175,400,100,fairness_sent,0.3695,0.3695
473,175,400,125,fairness_sent,0.349,0.349
474,175,400,150,fairness_sent,0.362,0.362
475,175,400,175,fairness_sent,0.3435,0.3435
476,175,425,25,fairness_sent,-0.1436,0.1436
477,175,425,50,fairness_sent,0.3454,0.3454
478,175,425,75,fairness_sent,0.3956,0.3956
479,175,425,100,fairness_sent,0.3753,0.3753
480,175,425,125,fairness_sent,0.3549,0.3549
481,175,425,150,fairness_sent,0.3591,0.3591
482,175,425,175,fairness_sent,0.335,0.335
483,175,450,25,fairness_sent,-0.1436,0.1436
484,175,450,50,fairness_sent,0.3439,0.3439
485,175,450,75,fairness_sent,0.3958,0.3958
486,175,450,100,fairness_sent,0.3602,0.3602
487,175,450,125,fairness_sent,0.3298,0.3298
488,175,450,150,fairness_sent,0.332,0.332
489,175,450,175,fairness_sent,0.3256,0.3256
490,175,475,25,fairness_sent,-0.1521,0.1521
491,175,475,50,fairness_sent,0.3512,0.3512
492,175,475,75,fairness_sent,0.3681,0.3681
493,175,475,100,fairness_sent,0.3594,0.3594
494,175,475,125,fairness_sent,0.3319,0.3319
495,175,475,150,fairness_sent,0.3309,0.3309
496,175,475,175,fairness_sent,0.3258,0.3258
497,175,500,25,fairness_sent,0.2227,0.2227
498,175,500,50,fairness_sent,0.3654,0.3654
499,175,500,75,fairness_sent,0.3659,0.3659
500,175,500,100,fairness_sent,0.3554,0.3554
501,175,500,125,fairness_sent,0.3284,0.3284
502,175,500,150,fairness_sent,0.3257,0.3257
503,175,500,175,fairness_sent,0.3247,0.3247
504,200,25,25,fairness_sent,-0.1851,0.1851
505,200,50,25,fairness_sent,0.3455,0.3455
506,200,50,50,fairness_sent,-0.1979,0.1979
507,200,75,25,fairness_sent,0.4053,0.4053
508,200,75,50,fairness_sent,0.3922,0.3922
509,200,75,75,fairness_sent,0.293,0.293
510,200,100,25,fairness_sent,0.4123,0.4123
511,200,100,50,fairness_sent,-0.4377,0.4377
512,200,100,75,fairness_sent,-0.4359,0.4359
513,200,100,100,fairness_sent,0.3298,0.3298
514,200,125,25,fairness_sent,-0.3488,0.3488
515,200,125,50,fairness_sent,-0.4422,0.4422
516,200,125,75,fairness_sent,-0.4492,0.4492
517,200,125,100,fairness_sent,0.4467,0.4467
518,200,125,125,fairness_sent,-0.3705,0.3705
519,200,150,25,fairness_sent,-0.4117,0.4117
520,200,150,50,fairness_sent,0.4394,0.4394
521,200,150,75,fairness_sent,-0.4573,0.4573
522,200,150,100,fairness_sent,0.4658,0.4658
523,200,150,125,fairness_sent,0.4634,0.4634
524,200,150,150,fairness_sent,-0.3848,0.3848
525,200,175,25,fairness_sent,-0.383,0.383
526,200,175,50,fairness_sent,-0.4288,0.4288
527,200,175,75,fairness_sent,-0.4487,0.4487
528,200,175,100,fairness_sent,0.4726,0.4726
529,200,175,125,fairness_sent,-0.4673,0.4673
530,200,175,150,fairness_sent,-0.4624,0.4624
531,200,175,175,fairness_sent,-0.3761,0.3761
532,200,200,25,fairness_sent,0.3321,0.3321
533,200,200,50,fairness_sent,-0.3816,0.3816
534,200,200,75,fairness_sent,0.4499,0.4499
535,200,200,100,fairness_sent,0.457,0.457
536,200,200,125,fairness_sent,0.4704,0.4704
537,200,200,150,fairness_sent,-0.4813,0.4813
538,200,200,175,fairness_sent,-0.4821,0.4821
539,200,200,200,fairness_sent,0.4202,0.4202
540,200,225,25,fairness_sent,0.3851,0.3851
541,200,225,50,fairness_sent,0.3723,0.3723
542,200,225,75,fairness_sent,0.4279,0.4279
543,200,225,100,fairness_sent,0.4391,0.4391
544,200,225,125,fairness_sent,0.4523,0.4523
545,200,225,150,fairness_sent,0.4685,0.4685
546,200,225,175,fairness_sent,0.4687,0.4687
547,200,225,200,fairness_sent,0.4758,0.4758
548,200,250,25,fairness_sent,-0.4099,0.4099
549,200,250,50,fairness_sent,-0.3542,0.3542
550,200,250,75,fairness_sent,0.4231,0.4231
551,200,250,100,fairness_sent,0.4338,0.4338
552,200,250,125,fairness_sent,0.4513,0.4513
553,200,250,150,fairness_sent,0.4468,0.4468
