,h,l,n,sanctity_sent,cor,cor_abs
475,175,400,175,sanctity_sent,0.3549,0.3549
476,175,425,25,sanctity_sent,0.2144,0.2144
477,175,425,50,sanctity_sent,0.3557,0.3557
478,175,425,75,sanctity_sent,0.3703,0.3703
479,175,425,100,sanctity_sent,0.3857,0.3857
480,175,425,125,sanctity_sent,0.3658,0.3658
481,175,425,150,sanctity_sent,0.3665,0.3665
482,175,425,175,sanctity_sent,0.3432,0.3432
483,175,450,25,sanctity_sent,0.2581,0.2581
484,175,450,50,sanctity_sent,0.3517,0.3517
485,175,450,75,sanctity_sent,0.3779,0.3779
486,175,450,100,sanctity_sent,0.3851,0.3851
487,175,450,125,sanctity_sent,0.3593,0.3593
488,175,450,150,sanctity_sent,0.3567,0.3567
489,175,450,175,sanctity_sent,0.3365,0.3365
490,175,475,25,sanctity_sent,0.2179,0.2179
491,175,475,50,sanctity_sent,0.3455,0.3455
492,175,475,75,sanctity_sent,0.3606,0.3606
493,175,475,100,sanctity_sent,0.3817,0.3817
494,175,475,125,sanctity_sent,0.3553,0.3553
495,175,475,150,sanctity_sent,0.3484,0.3484
496,175,475,175,sanctity_sent,0.3382,0.3382
497,175,500,25,sanctity_sent,0.2174,0.2174
498,175,500,50,sanctity_sent,0.3448,0.3448
499,175,500,75,sanctity_sent,0.3645,0.3645
500,175,500,100,sanctity_sent,0.3535,0.3535
501,175,500,125,sanctity_sent,0.3435,0.3435
502,175,500,150,sanctity_sent,0.3307,0.3307
503,175,500,175,sanctity_sent,0.3257,0.3257
504,200,25,25,sanctity_sent,-0.159,0.159
505,200,50,25,sanctity_sent,0.203,0.203
506,200,50,50,sanctity_sent,-0.2311,0.2311
507,200,75,25,sanctity_sent,-0.3463,0.3463
508,200,75,50,sanctity_sent,-0.3869,0.3869
509,200,75,75,sanctity_sent,-0.3637,0.3637
510,200,100,25,sanctity_sent,-0.353,0.353
511,200,100,50,sanctity_sent,-0.3877,0.3877
512,200,100,75,sanctity_sent,-0.4074,0.4074
513,200,100,100,sanctity_sent,-0.4305,0.4305
514,200,125,25,sanctity_sent,-0.4047,0.4047
515,200,125,50,sanctity_sent,-0.4081,0.4081
516,200,125,75,sanctity_sent,0.4278,0.4278
517,200,125,100,sanctity_sent,-0.4484,0.4484
518,200,125,125,sanctity_sent,-0.4384,0.4384
519,200,150,25,sanctity_sent,-0.365,0.365
520,200,150,50,sanctity_sent,-0.4311,0.4311
521,200,150,75,sanctity_sent,0.4422,0.4422
522,200,150,100,sanctity_sent,-0.4438,0.4438
523,200,150,125,sanctity_sent,-0.4565,0.4565
524,200,150,150,sanctity_sent,-0.4552,0.4552
525,200,175,25,sanctity_sent,-0.3752,0.3752
526,200,175,50,sanctity_sent,-0.4271,0.4271
