,h,l,n,authority_sent,cor,cor_abs
360,150,400,150,authority_sent,0.3789,0.3789
361,150,425,25,authority_sent,0.2471,0.2471
362,150,425,50,authority_sent,0.3847,0.3847
363,150,425,75,authority_sent,0.3466,0.3466
364,150,425,100,authority_sent,0.3902,0.3902
365,150,425,125,authority_sent,0.3863,0.3863
366,150,425,150,authority_sent,0.3863,0.3863
367,150,450,25,authority_sent,0.2687,0.2687
368,150,450,50,authority_sent,-0.3696,0.3696
369,150,450,75,authority_sent,-0.3329,0.3329
370,150,450,100,authority_sent,0.3828,0.3828
371,150,450,125,authority_sent,0.3728,0.3728
372,150,450,150,authority_sent,0.3786,0.3786
373,150,475,25,authority_sent,0.2771,0.2771
374,150,475,50,authority_sent,0.3827,0.3827
375,150,475,75,authority_sent,0.3645,0.3645
376,150,475,100,authority_sent,0.3928,0.3928
377,150,475,125,authority_sent,0.3647,0.3647
378,150,475,150,authority_sent,0.3659,0.3659
379,150,500,25,authority_sent,0.2771,0.2771
380,150,500,50,authority_sent,0.3827,0.3827
381,150,500,75,authority_sent,0.3687,0.3687
382,150,500,100,authority_sent,0.3727,0.3727
383,150,500,125,authority_sent,0.3566,0.3566
384,150,500,150,authority_sent,0.355,0.355
385,175,25,25,authority_sent,-0.2195,0.2195
386,175,50,25,authority_sent,-0.348,0.348
387,175,50,50,authority_sent,-0.2521,0.2521
388,175,75,25,authority_sent,-0.424,0.424
389,175,75,50,authority_sent,-0.3833,0.3833
390,175,75,75,authority_sent,-0.2965,0.2965
391,175,100,25,authority_sent,0.4246,0.4246
392,175,100,50,authority_sent,-0.4634,0.4634
393,175,100,75,authority_sent,-0.3805,0.3805
394,175,100,100,authority_sent,-0.3282,0.3282
395,175,125,25,authority_sent,0.4044,0.4044
396,175,125,50,authority_sent,0.4366,0.4366
397,175,125,75,authority_sent,-0.4638,0.4638
398,175,125,100,authority_sent,-0.4121,0.4121
399,175,125,125,authority_sent,-0.3696,0.3696
400,175,150,25,authority_sent,0.3899,0.3899
401,175,150,50,authority_sent,-0.4563,0.4563
402,175,150,75,authority_sent,-0.4928,0.4928
403,175,150,100,authority_sent,-0.4648,0.4648
404,175,150,125,authority_sent,-0.4397,0.4397
405,175,150,150,authority_sent,-0.3967,0.3967
406,175,175,25,authority_sent,-0.3929,0.3929
407,175,175,50,authority_sent,-0.4671,0.4671
408,175,175,75,authority_sent,-0.4693,0.4693
409,175,175,100,authority_sent,-0.4882,0.4882
410,175,175,125,authority_sent,-0.4678,0.4678
411,175,175,150,authority_sent,-0.4532,0.4532
412,175,175,175,authority_sent,0.4181,0.4181
413,175,200,25,authority_sent,-0.3887,0.3887
414,175,200,50,authority_sent,-0.4244,0.4244
415,175,200,75,authority_sent,-0.4681,0.4681
416,175,200,100,authority_sent,-0.4932,0.4932
417,175,200,125,authority_sent,-0.4846,0.4846
418,175,200,150,authority_sent,-0.4592,0.4592
419,175,200,175,authority_sent,-0.4664,0.4664
420,175,225,25,authority_sent,0.3953,0.3953
421,175,225,50,authority_sent,-0.4303,0.4303
422,175,225,75,authority_sent,-0.4498,0.4498
423,175,225,100,authority_sent,0.4878,0.4878
424,175,225,125,authority_sent,-0.4814,0.4814
425,175,225,150,authority_sent,-0.472,0.472
426,175,225,175,authority_sent,0.4551,0.4551
427,175,250,25,authority_sent,-0.3588,0.3588
428,175,250,50,authority_sent,-0.3995,0.3995
429,175,250,75,authority_sent,-0.4455,0.4455
430,175,250,100,authority_sent,-0.4637,0.4637
431,175,250,125,authority_sent,-0.4732,0.4732
432,175,250,150,authority_sent,-0.4706,0.4706
433,175,250,175,authority_sent,0.4555,0.4555
434,175,275,25,authority_sent,-0.3394,0.3394
435,175,275,50,authority_sent,-0.4047,0.4047
436,175,275,75,authority_sent,-0.4451,0.4451
437,175,275,100,authority_sent,0.4592,0.4592
438,175,275,125,authority_sent,0.465,0.465
439,175,275,150,authority_sent,0.4504,0.4504
440,175,275,175,authority_sent,0.43,0.43
441,175,300,25,authority_sent,0.3435,0.3435
442,175,300,50,authority_sent,-0.3806,0.3806
443,175,300,75,authority_sent,-0.4289,0.4289
444,175,300,100,authority_sent,0.451,0.451
445,175,300,125,authority_sent,-0.4688,0.4688
446,175,300,150,authority_sent,0.4507,0.4507
447,175,300,175,authority_sent,0.4273,0.4273
448,175,325,25,authority_sent,0.3435,0.3435
449,175,325,50,authority_sent,-0.3675,0.3675
450,175,325,75,authority_sent,-0.4358,0.4358
451,175,325,100,authority_sent,0.4556,0.4556
452,175,325,125,authority_sent,0.4744,0.4744
453,175,325,150,authority_sent,0.4457,0.4457
454,175,325,175,authority_sent,0.4217,0.4217
455,175,350,25,authority_sent,0.3708,0.3708
456,175,350,50,authority_sent,-0.4077,0.4077
457,175,350,75,authority_sent,-0.4267,0.4267
458,175,350,100,authority_sent,0.4515,0.4515
459,175,350,125,authority_sent,0.4514,0.4514
460,175,350,150,authority_sent,0.4403,0.4403
461,175,350,175,authority_sent,0.4036,0.4036
462,175,375,25,authority_sent,0.3502,0.3502
463,175,375,50,authority_sent,-0.3859,0.3859
464,175,375,75,authority_sent,-0.4125,0.4125
465,175,375,100,authority_sent,0.4408,0.4408
466,175,375,125,authority_sent,0.4552,0.4552
467,175,375,150,authority_sent,0.4285,0.4285
468,175,375,175,authority_sent,0.4032,0.4032
469,175,400,25,authority_sent,-0.2979,0.2979
470,175,400,50,authority_sent,0.3538,0.3538
471,175,400,75,authority_sent,-0.4021,0.4021
472,175,400,100,authority_sent,0.4369,0.4369
473,175,400,125,authority_sent,0.4429,0.4429
474,175,400,150,authority_sent,0.4234,0.4234
475,175,400,175,authority_sent,0.3987,0.3987
476,175,425,25,authority_sent,0.255,0.255
477,175,425,50,authority_sent,0.344,0.344
478,175,425,75,authority_sent,0.3965,0.3965
479,175,425,100,authority_sent,0.4264,0.4264
480,175,425,125,authority_sent,0.4442,0.4442
481,175,425,150,authority_sent,0.4308,0.4308
482,175,425,175,authority_sent,0.4058,0.4058
483,175,450,25,authority_sent,0.272,0.272
484,175,450,50,authority_sent,0.3479,0.3479
485,175,450,75,authority_sent,0.3841,0.3841
486,175,450,100,authority_sent,0.3906,0.3906
487,175,450,125,authority_sent,0.4089,0.4089
488,175,450,150,authority_sent,0.3863,0.3863
489,175,450,175,authority_sent,0.3812,0.3812
490,175,475,25,authority_sent,0.2571,0.2571
491,175,475,50,authority_sent,-0.37,0.37
492,175,475,75,authority_sent,0.4081,0.4081
493,175,475,100,authority_sent,0.3774,0.3774
494,175,475,125,authority_sent,0.4096,0.4096
495,175,475,150,authority_sent,0.3812,0.3812
496,175,475,175,authority_sent,0.3755,0.3755
497,175,500,25,authority_sent,0.2571,0.2571
498,175,500,50,authority_sent,-0.37,0.37
499,175,500,75,authority_sent,0.4061,0.4061
500,175,500,100,authority_sent,0.3766,0.3766
501,175,500,125,authority_sent,0.3896,0.3896
