,h,l,n,loyalty_sent,cor,cor_abs
470,175,400,50,loyalty_sent,0.3587,0.3587
471,175,400,75,loyalty_sent,-0.4337,0.4337
472,175,400,100,loyalty_sent,0.4247,0.4247
473,175,400,125,loyalty_sent,0.3909,0.3909
474,175,400,150,loyalty_sent,0.3595,0.3595
475,175,400,175,loyalty_sent,0.3848,0.3848
476,175,425,25,loyalty_sent,0.0803,0.0803
477,175,425,50,loyalty_sent,0.3533,0.3533
478,175,425,75,loyalty_sent,0.4487,0.4487
479,175,425,100,loyalty_sent,0.431,0.431
480,175,425,125,loyalty_sent,0.3977,0.3977
481,175,425,150,loyalty_sent,0.3695,0.3695
482,175,425,175,loyalty_sent,0.3859,0.3859
483,175,450,25,loyalty_sent,0.0447,0.0447
484,175,450,50,loyalty_sent,-0.3248,0.3248
485,175,450,75,loyalty_sent,0.4203,0.4203
486,175,450,100,loyalty_sent,0.4114,0.4114
487,175,450,125,loyalty_sent,0.3705,0.3705
488,175,450,150,loyalty_sent,0.3499,0.3499
489,175,450,175,loyalty_sent,0.3735,0.3735
490,175,475,25,loyalty_sent,0.0447,0.0447
491,175,475,50,loyalty_sent,-0.2954,0.2954
492,175,475,75,loyalty_sent,0.4048,0.4048
493,175,475,100,loyalty_sent,0.3977,0.3977
494,175,475,125,loyalty_sent,0.3662,0.3662
495,175,475,150,loyalty_sent,0.3433,0.3433
496,175,475,175,loyalty_sent,0.3531,0.3531
497,175,500,25,loyalty_sent,0.0447,0.0447
498,175,500,50,loyalty_sent,0.3116,0.3116
499,175,500,75,loyalty_sent,0.3992,0.3992
500,175,500,100,loyalty_sent,0.4015,0.4015
501,175,500,125,loyalty_sent,0.3499,0.3499
502,175,500,150,loyalty_sent,0.3243,0.3243
503,175,500,175,loyalty_sent,0.3385,0.3385
504,200,25,25,loyalty_sent,-0.1214,0.1214
505,200,50,25,loyalty_sent,-0.3705,0.3705
506,200,50,50,loyalty_sent,-0.2378,0.2378
507,200,75,25,loyalty_sent,0.4157,0.4157
508,200,75,50,loyalty_sent,-0.409,0.409
509,200,75,75,loyalty_sent,-0.3254,0.3254
510,200,100,25,loyalty_sent,-0.4068,0.4068
511,200,100,50,loyalty_sent,-0.4515,0.4515
512,200,100,75,loyalty_sent,-0.41,0.41
513,200,100,100,loyalty_sent,-0.3675,0.3675
514,200,125,25,loyalty_sent,0.4268,0.4268
515,200,125,50,loyalty_sent,-0.4842,0.4842
516,200,125,75,loyalty_sent,-0.4814,0.4814
517,200,125,100,loyalty_sent,-0.4746,0.4746
518,200,125,125,loyalty_sent,-0.3971,0.3971
519,200,150,25,loyalty_sent,-0.4424,0.4424
520,200,150,50,loyalty_sent,-0.4953,0.4953
521,200,150,75,loyalty_sent,-0.4971,0.4971
522,200,150,100,loyalty_sent,-0.4771,0.4771
523,200,150,125,loyalty_sent,-0.4848,0.4848
524,200,150,150,loyalty_sent,-0.4209,0.4209
525,200,175,25,loyalty_sent,-0.428,0.428
526,200,175,50,loyalty_sent,-0.4918,0.4918
